player,player2,team,hs acc,acc spotted,acc all,acc spray,counter strafe,crosshair_placement,time_to_damage,sens,teams,role,mouse,mouse2,length,width,height,size,weight,type,mouse_hertz,dpi,edpi,zoom_sens,accel,windows_sens,raw_input,hertz,resolution,aspect_ratio,mouse_pad,speed
AcilioN,AcilioN,Apeks,16.82%,38.93%,17.45%,41.53%,74.45%,11.09 °,528 ms,2.2,CPH Flames,Rifler,Zowie FK1+,Zowie FK1+,12.8,6.2,3.8,M,95,Ambidextrous,"1,000",400,880,1,0,6,1,240,1680x1050,16:10,Zowie G-SR DG,4
AdreN,AdreN,K23,18.57%,37.97%,17.84%,41.31%,80.67%,10.35 °,549 ms,2.5,K23,Rifler,Zowie FK1,Zowie FK1,12.8,6,3.7,M / S,90,Ambidextrous,"1,000",400,"1,000",0.85,0,6,1,240,1024x768,4:03,SteelSeries QcK Heavy,5
Aerial,Aerial,HAVU,15.65%,43.30%,23.18%,48.58%,83.64%,10.38 °,503 ms,2.2,HAVU,Rifler,Zowie EC2-A,Zowie EC2-A,12,6.4,4,M,93,Ergonomic,"1,000",400,880,1,0,6,1,360,1024x768,4:03,ASUS ENCE Edition,4
Aleksib,Aleksib,OG,16.56%,40.50%,16.86%,44.07%,82.99%,11.04 °,527 ms,1.05,OG,Rifler,Logitech G Pro Wireless,Logitech G Pro Wireless,12.5,6.35,4,M / L,80,Ambidextrous,"1,000",800,840,0.95,0,6,1,240,1440x1080,4:03,SteelSeries QcK Heavy,5
allu,allu,ENCE,20.04%,42.87%,23.06%,36.20%,78.52%,7.76 °,500 ms,3,ENCE,AWPer,Logitech G Pro Wireless,Logitech G Pro Wireless,12.5,6.35,4,M / L,80,Ambidextrous,"1,000",400,"1,200",1,0,6,1,360,1280x960,4:03,Logitech G640 ENCE Edition,5
almazer,almazer,forZe,22.46%,40.29%,18.75%,42.20%,83.06%,10.56 °,514 ms,2.9,forZe,Rifler,Logitech G Pro X Superlight Black,Logitech G Pro X Superlight,12.5,6.35,4,M / L,63,Ambidextrous,"1,000",400,"1,160",1,0,6,1,360,1280x960,4:03,Zowie G-SR DG,4
AmaNEk,AmaNEk,G2,23%,39.18%,18.43%,39.95%,83.24%,11.08 °,496 ms,2.2,G2,AWPer,Logitech G Pro X Superlight Black,Logitech G Pro X Superlight,12.5,6.35,4,M / L,63,Ambidextrous,"1,000",800,"1,760",1,0,6,1,240,1440x1080,4:03,Logitech G840,5
apEX,apEX,Vitality,16.95%,35.23%,14.20%,36.79%,73.29%,10.87 °,544 ms,1.6,Vitality,Rifler,Zowie EC1-A,Zowie EC1-A,12.8,6.9,4.3,L,94,Ergonomic,"1,000",400,640,1,0,6,1,240,1024x768,4:03,Corsair MM350 Champion Series,4
arT,arT,FURIA,17.21%,38.77%,15.64%,38.10%,81.25%,10.32 °,486 ms,1.8,FURIA,AWPer,Razer Viper Ultimate,Razer Viper Ultimate,12.67,6.62,3.781,M,74,Ambidextrous,"1,000",800,"1,440",1,0,6,1,240,1280x960,4:03,Esports Tiger Grandmaster Jin,3
Ax1Le,Ax1Le,Gambit,18.58%,42.99%,19.17%,44.24%,86.21%,10 °,500 ms,1.5,Gambit,Rifler,Logitech G Pro X Superlight White,Logitech G Pro X Superlight,12.5,6.35,4,M / L,63,Ambidextrous,"1,000",800,"1,200",1,0,6,1,240,1280x960,4:03,Razer Goliathus Control,6
